time (ms),x_accel,y_accel,z_accel,g_measured,TimeInterval,Date
0,-0.144547,-0.987961,-0.13092,1.007026,4006.243673,07:03.8
2.9549,-0.109482,-0.974564,-0.157623,0.99328,4006.273222,07:03.7
5.9094,-0.121277,-0.976593,-0.148758,0.995274,4006.302767,07:03.7
8.8643,-0.120728,-0.977127,-0.154724,0.99664,4006.332316,07:03.7
11.819,-0.131989,-0.975082,-0.153976,0.995949,4006.361863,07:03.6
14.7739,-0.106171,-0.964951,-0.163223,0.9844,4006.391412,07:03.6
17.7289,-0.123444,-0.954636,-0.16214,0.976144,4006.420962,07:03.6
20.6838,-0.137238,-0.968964,-0.152664,0.99047,4006.450511,07:03.6
23.6387,-0.126694,-0.963867,-0.164551,0.985986,4006.48006,07:03.5
26.5935,-0.120361,-0.975998,-0.182831,1.000243,4006.509608,07:03.5
29.5483,-0.082825,-0.981064,-0.175949,1.000152,4006.539156,07:03.5
32.5033,-0.115585,-0.970383,-0.172958,0.99243,4006.568706,07:03.4
35.4584,-0.124069,-0.9711,-0.143707,0.989485,4006.598257,07:03.4
38.4135,-0.112198,-0.970139,-0.144852,0.987289,4006.627808,07:03.4
41.3685,-0.106674,-0.97934,-0.170486,0.999776,4006.657358,07:03.3
44.3233,-0.106857,-0.974182,-0.176971,0.995876,4006.686906,07:03.3
47.2782,-0.11763,-0.965546,-0.1772,0.988694,4006.716455,07:03.3
50.233,-0.120789,-0.96907,-0.173187,0.991807,4006.746003,07:03.3
53.188,-0.123459,-0.965668,-0.148987,0.984862,4006.775553,07:03.2
56.1427,-0.122665,-0.968597,-0.159424,0.989264,4006.8051,07:03.2
59.0972,-0.134995,-0.969925,-0.136307,0.988715,4006.834645,07:03.2
62.0452,-0.156372,-0.962341,-0.151352,0.986641,4006.864125,07:03.1
65.0001,-0.13356,-0.95961,-0.175217,0.984576,4006.893674,07:03.1
67.9546,-0.127136,-0.970474,-0.189362,0.996916,4006.923219,07:03.1
70.9094,-0.134506,-0.982941,-0.178619,1.008052,4006.952767,07:03.1
