time (ms),time_raw,x_accel,y_accel,z_accel,g_measured
280.629,5332.781507,-0.067047,-0.995819,0.079208,1.001212
283.5831,5332.811048,-0.17276,-0.947601,0.111298,0.96963
286.537,5332.840587,-0.129013,-0.950562,0.105042,0.965011
289.491,5332.870127,-0.131531,-0.964584,0.11174,0.979903
292.445,5332.899667,-0.148666,-0.959595,0.123138,0.978819
295.399,5332.929207,-0.138733,-0.971527,0.128311,0.989735
298.3534,5332.958751,-0.095779,-0.972382,0.134094,0.986246
301.3074,5332.988291,-0.031418,-0.996872,0.159805,1.010088
304.2615,5333.017832,-0.120224,-0.997269,0.152374,1.015981
307.2155,5333.047372,-0.153091,-0.950012,0.088989,0.966374
310.1697,5333.076914,-0.175781,-0.951218,0.107681,0.973298
313.1241,5333.106458,-0.155716,-0.977112,0.138718,0.999118
316.0785,5333.136002,-0.053909,-0.972809,0.13356,0.983413
319.033,5333.165547,-0.095871,-0.99617,0.184479,1.017634
321.9875,5333.195092,-0.125565,-0.999161,0.143372,1.017175
324.9418,5333.224635,-0.101028,-0.958527,0.088959,0.967933
327.896,5333.254177,-0.160583,-0.954453,0.102859,0.973317
330.8502,5333.283719,-0.169693,-0.966736,0.11351,0.988058
333.8048,5333.313265,-0.140671,-0.962753,0.087738,0.976924
336.7591,5333.342808,-0.123978,-0.999268,0.107239,1.012623
339.7134,5333.372351,-0.125778,-0.979691,0.143295,0.998072
342.6678,5333.401895,-0.183868,-0.977463,0.179886,1.010742
345.6221,5333.431438,-0.07933,-0.998886,0.104568,1.007473
348.5763,5333.46098,-0.123306,-0.999115,0.133301,1.015482
351.5309,5333.490526,-0.118225,-0.980347,0.062164,0.989404
354.4852,5333.520069,0.006149,-1.018021,0.061462,1.019893
357.439,5333.549607,-0.03035,-0.970337,0.090775,0.975046
360.3936,5333.579153,-0.133957,-0.982162,0.124649,0.999062
363.3479,5333.608696,-0.047531,-1.004517,0.03363,1.006203
366.302,5333.638237,0.169754,-1.021179,-0.043732,1.036116
369.256,5333.667777,0.16568,-1.057953,-0.095108,1.075063
372.2101,5333.697318,-0.123383,-1.080582,0.098389,1.092044
375.1639,5333.726856,-0.262451,-0.968063,0.202271,1.023201
378.1187,5333.756404,-0.060028,-1.176514,-0.296387,1.214756
381.0728,5333.785945,0.260254,-1.030746,-0.015335,1.063205
384.0273,5333.81549,0.260178,-0.867737,0.321457,0.961246
386.9815,5333.845032,0.207779,-0.861176,0.302551,0.936126
389.9356,5333.874573,0.016159,-0.803299,0.378891,0.888318
392.8895,5333.904112,0.514221,-0.994293,0.356812,1.174886
