time(ms),x_accel,y_accel,z_accel,g_measured,TimeInterval,Date
0,-0.02858,-0.995651,-0.074661,0.998856,5259.276136,27:55.3
2.9542,0.005875,-0.961502,-0.164291,0.975455,5259.305678,27:55.3
5.9087,-0.008652,-0.969009,-0.146347,0.980036,5259.335223,27:55.3
8.8632,0.015137,-0.986481,-0.141998,0.996763,5259.364768,27:55.2
11.8176,-0.011948,-0.979507,-0.147125,0.990567,5259.394312,27:55.2
14.772,-0.016769,-0.974197,-0.182587,0.991302,5259.423856,27:55.2
17.7259,-0.004715,-0.981644,-0.149551,0.992981,5259.453395,27:55.1
20.6808,-0.003021,-0.983719,-0.12471,0.991597,5259.482944,27:55.1
23.635,0.012207,-0.98175,-0.123077,0.989511,5259.512486,27:55.1
26.5894,0.010452,-0.982544,-0.11026,0.988766,5259.54203,27:55.1
29.5437,0.021942,-0.982178,-0.122314,0.990008,5259.571573,27:55.0
32.4981,0.05191,-0.988632,-0.102905,0.995328,5259.601117,27:55.0
35.4522,-0.033737,-0.979248,-0.139069,0.989649,5259.630658,27:55.0
38.4073,-0.040283,-0.983063,-0.113876,0.990456,5259.660209,27:54.9
41.3618,-0.052826,-0.987091,-0.085526,0.992197,5259.689754,27:54.9
44.3166,-0.000244,-0.946121,-0.141541,0.95665,5259.719302,27:54.9
47.271,0.086624,-1.038483,-0.17955,1.057444,5259.748846,27:54.8
50.2255,-0.092636,-0.952866,-0.088181,0.96141,5259.778391,27:54.8
53.1795,-0.020645,-0.975815,-0.109787,0.982188,5259.807931,27:54.8
56.1345,-0.001038,-0.978287,-0.06813,0.980657,5259.837481,27:54.8
59.0891,0.043793,-0.994202,-0.066986,0.997418,5259.867027,27:54.7
62.0434,0.056396,-1.004593,0.020538,1.006384,5259.89657,27:54.7
64.9979,0.043198,-1.009827,-0.03244,1.011271,5259.926115,27:54.7
67.9525,0.125778,-1.003036,0.0327,1.011421,5259.955661,27:54.6
70.9059,0.137161,-1.017822,-0.079544,1.030098,5259.985195,27:54.6
73.8615,0.050507,-0.993057,-0.095459,0.998912,5260.014751,27:54.6
76.8162,-0.097549,-0.95108,-0.074921,0.959001,5260.044298,27:54.6
79.7706,-0.112839,-0.970581,-0.13176,0.985962,5260.073842,27:54.5
82.7252,-0.062912,-0.955963,-0.105377,0.963809,5260.103388,27:54.5
85.6799,-0.028671,-0.997513,-0.138275,1.007459,5260.132935,27:54.5
88.6335,-0.039902,-0.94751,-0.210281,0.971383,5260.162471,27:54.4
91.5891,-0.010773,-1.021027,-0.142685,1.031005,5260.192027,27:54.4
94.5436,-0.016052,-0.976303,-0.077042,0.97947,5260.221572,27:54.4
97.4982,-0.064209,-0.966614,-0.086243,0.972575,5260.251118,27:54.3
100.4529,0.042191,-1.007446,-0.096298,1.012917,5260.280665,27:54.3
103.4076,0.024017,-0.946487,-0.049255,0.948072,5260.310212,27:54.3
106.3626,0.053268,-0.992737,-0.064285,0.996241,5260.339762,27:54.3
109.3175,0.039734,-0.986618,-0.096115,0.992085,5260.369311,27:54.2
112.2724,-0.027191,-0.987396,-0.032562,0.988307,5260.39886,27:54.2
115.2265,0.038025,-0.998245,-0.054382,1.000448,5260.428401,27:54.2
118.1814,0.055496,-0.982605,-0.094803,0.988726,5260.45795,27:54.1
121.1362,0.024185,-1.007248,-0.042343,1.008428,5260.487498,27:54.1
124.0912,-0.060745,-0.951508,-0.128555,0.962072,5260.517048,27:54.1
127.0457,-0.043396,-0.980972,-0.089554,0.986007,5260.546593,27:54.0
130.0006,-0.073441,-0.96962,-0.092468,0.976784,5260.576142,27:54.0
132.9553,-0.100754,-0.949615,-0.123871,0.962946,5260.605689,27:54.0
135.9102,-0.123169,-1.011703,-0.045898,1.020206,5260.635238,27:54.0
138.8649,-0.098511,-0.951584,-0.007629,0.9567,5260.664785,27:53.9
141.8197,0.035309,-0.968445,-0.002457,0.969091,5260.694333,27:53.9
144.7742,-0.027908,-1.024811,0.076019,1.028005,5260.723878,27:53.9
147.7288,0.095825,-0.979218,0.020996,0.984119,5260.753424,27:53.8
150.6833,0.129684,-1.053299,0.093948,1.065403,5260.782969,27:53.8
153.6383,0.01825,-0.966873,0.028015,0.967451,5260.812519,27:53.8
156.5927,0.003876,-1.031891,0.041107,1.032717,5260.842063,27:53.8
159.5474,-0.064056,-0.983765,0.017227,0.985998,5260.87161,27:53.7
162.5017,-0.076797,-0.988007,0.018753,0.991164,5260.901153,27:53.7
165.4562,-0.029312,-1.000946,0.019333,1.001562,5260.930698,27:53.7
168.411,0.003372,-0.97345,0.040054,0.974279,5260.960246,27:53.6
171.3653,-0.102844,-1.047897,0.051178,1.054175,5260.989789,27:53.6
174.3194,-0.089172,-0.971939,0.04718,0.977161,5261.01933,27:53.6
177.2745,0.021255,-0.98259,-0.014664,0.982929,5261.048881,27:53.5
180.2292,-0.031586,-0.99147,0.009567,0.992019,5261.078428,27:53.5
183.1837,-0.116745,-1.027359,0.074707,1.036666,5261.107973,27:53.5
186.1382,0.005936,-1.055008,0.093857,1.059191,5261.137518,27:53.5
189.0929,0.174438,-0.986099,0.108414,1.007261,5261.167065,27:53.4
192.0449,0.105667,-0.943848,-0.037628,0.950489,5261.196585,27:53.4
195.0013,-0.022888,-1.151093,-0.228455,1.173767,5261.226149,27:53.4
